Latitude,Longitude,RSRP
39.62017,-107.0129533,-87.72
39.6142,-107.02132,-87.38
39.61832167,-107.01406,-87.37
39.61590167,-107.0154867,-87.33
39.61821667,-107.0121183,-86.92
39.62079167,-107.01241,-86.87
39.61578167,-107.0106667,-86.7
39.62103167,-107.01231,-86.46
39.62005167,-107.0116367,-86.4
39.6164,-107.0146583,-86.26
39.61528667,-107.0111467,-86.18
39.61807167,-107.02255,-86
39.61937333,-107.0122383,-85.99
39.62027333,-107.0128967,-85.76
39.6155,-107.0109217,-85.46
39.61830833,-107.01225,-85.35
39.61895,-107.01269,-84.74
39.61927333,-107.0123633,-84.73
39.61920333,-107.013195,-83.96
39.61909167,-107.0131583,-83.96
39.61930333,-107.0132217,-83.84
39.62084833,-107.01239,-83.69
39.61939833,-107.0131633,-83.37
39.61957167,-107.0132017,-83.29
39.62042,-107.012765,-83.26
39.61918,-107.0124767,-82.96
39.62089833,-107.0124217,-82.75
39.61948167,-107.0131883,-82.23
39.61960667,-107.0120283,-82.01
39.61977333,-107.0131783,-81.79
39.61568333,-107.0107083,-81.48
39.62014167,-107.01307,-81.32
39.621085,-107.0122133,-81.2
39.61967667,-107.0132117,-81.16
39.61559,-107.010815,-80.13
39.61855333,-107.0137383,-77.94
39.61882667,-107.013095,-77.43
39.61851667,-107.01254,-76.95
39.618595,-107.0126833,-75.91
39.61906667,-107.0126067,-75.74
39.61869833,-107.0128083,-75.57
39.62104833,-107.0122833,-75.45
39.618925,-107.0131683,-69.41
39.61868333,-107.0133433,-63.44
39.61885,-107.012795,-62.98
39.61875167,-107.01306,-57.07
39.61868833,-107.01294,-49.93
